                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0189,                 4.4813,                 4.1104,                0.00256,                0.21416,                0.00186,                0.00069,                 2.6994,                 4.2136,                 4.3595,              0.0003006,              0.0003006,              0.0003006
                      2,                 2.5804,                 3.8578,                 3.3149,                0.09056,                0.11377,                0.04458,                0.01811,                 2.1693,                  4.645,                 3.2883,             0.00059762,             0.00059762,             0.00059762
                      3,                 2.0512,                 3.2692,                 2.6886,                0.12671,                0.14248,                0.10077,                0.04241,                 1.9267,                 3.2854,                  2.781,             0.00088864,             0.00088864,             0.00088864
                      4,                 1.7412,                 2.8603,                 2.3432,                0.18699,                0.45561,                0.22289,                0.13024,                 1.3976,                 2.6581,                 2.1217,               0.000882,               0.000882,               0.000882
                      5,                 1.5637,                 2.5718,                 2.1421,                0.25119,                0.49575,                0.26034,                0.16847,                 1.2599,                 2.3117,                 1.9556,               0.000873,               0.000873,               0.000873
                      6,                 1.4503,                 2.3764,                      2,                0.28187,                 0.5135,                0.28386,                0.19422,                 1.1995,                 2.2833,                 1.8421,               0.000864,               0.000864,               0.000864
                      7,                  1.361,                 2.2317,                 1.9201,                0.22968,                0.55007,                0.29021,                0.19557,                 1.1662,                 2.2719,                 1.8192,             0.00085501,             0.00085501,             0.00085501
                      8,                 1.3358,                 2.1561,                 1.8636,                0.26785,                0.55104,                0.32329,                0.22686,                 1.0982,                 1.9514,                 1.7365,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.2909,                 2.0946,                 1.8171,                0.28418,                0.46681,                0.33387,                0.20713,                 1.3216,                 2.2529,                 1.9377,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.2421,                  1.977,                 1.7646,                0.30722,                0.55672,                0.42791,                0.32159,                0.98654,                 1.7192,                 1.5818,             0.00082801,             0.00082801,             0.00082801
                     11,                  1.193,                 1.9134,                 1.7157,                0.33383,                0.56517,                0.37233,                0.26316,                 1.0534,                  1.829,                 1.6657,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.1493,                 1.8783,                 1.6805,                0.39055,                0.62347,                0.50416,                0.38512,                0.91502,                 1.4868,                 1.5236,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.1486,                 1.7851,                 1.6555,                0.28428,                0.56961,                0.34161,                0.24786,                0.97263,                 1.8731,                 1.5754,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.1305,                 1.7523,                 1.6416,                0.44474,                0.54913,                0.47961,                0.35999,                0.94106,                 1.6129,                 1.5377,             0.00079201,             0.00079201,             0.00079201
                     15,                 1.0976,                 1.6956,                 1.6084,                0.53232,                0.60808,                0.58963,                0.44554,                0.89727,                 1.3875,                 1.4598,             0.00078301,             0.00078301,             0.00078301
                     16,                 1.0674,                 1.5949,                 1.5816,                0.47191,                0.65563,                0.50737,                0.37985,                0.92318,                  1.679,                 1.4958,             0.00077401,             0.00077401,             0.00077401
                     17,                 1.0612,                  1.552,                 1.5623,                0.61428,                0.54447,                0.63074,                0.49201,                0.86286,                 1.3947,                 1.4123,             0.00076501,             0.00076501,             0.00076501
                     18,                 1.0481,                  1.503,                 1.5538,                0.63259,                0.67601,                0.72163,                0.55086,                0.86787,                 1.2954,                 1.4462,             0.00075602,             0.00075602,             0.00075602
